genres,title,authors,rating,reviews,description,pages
"['Classics', 'Fiction']",The Catcher in the Rye,['J.D. Salinger'],3.81,2983344,"The hero-narrator of The Catcher in the Rye is an ancient child of sixteen, a native New Yorker named Holden Caulfield. Through circumstances that tend to preclude adult, secondhand description, he leaves his prep school in Pennsylvania and goes underground in New York City for three days. The boy himself is at once too simple and too complex for us to make any final comme",277
"['Fantasy', 'Fiction']",The Princess Bride,['William Goldman'],4.25,833123,"What happens when the most beautiful girl in the world marries the handsomest prince of all time and he turns out to be...well...a lot less than the man of her dreams?As a boy, William Goldman claims, he loved to hear his father read the S. Morgenstern classic, The Princess Bride. But as a grown-up he discovered that the boring parts were left out of good old Dad's recitat",456
"['Fiction', 'Historical']",A Thousand Splendid Suns,['Khaled Hosseini'],4.39,1270204,"A Thousand Splendid Suns is a breathtaking story set against the volatile events of Afghanistan's last thirty years - from the Soviet invasion to the reign of the Taliban to post-Taliban rebuilding - that puts the violence, fear, hope, and faith of this country in intimate, human terms. It is a tale of two generations of characters brought jarringly together by the tragic",372
"['Classics', 'Fiction']",The Secret Garden,['Frances Hodgson Burnett'],4.13,992482,"""One of the most delightful and enduring classics of children's literature, The Secret Garden by Victorian author Frances Hodgson Burnett has remained a firm favorite with children the world over ever since it made its first appearance. Initially published as a serial story in 1910 in The American Magazine, it was brought out in novel form in 1911.  The plot centers round",331
"['Fiction', 'Classics']",The Alchemist,"['Paulo Coelho', 'Alan R. Clarke', '(Translator)', 'กอบชลี และ กันเกรา', '(ผู้แปล)']",3.89,2386843,"Paulo Coelho's masterpiece tells the mystical story of Santiago, an Andalusian shepherd boy who yearns to travel in search of a worldly treasure. His quest will lead him to riches far different, and far more satisfying, listening to our hearts, of recognizing opportunity and learning to read the omens strewn along life's path, and, most importantly, to follow our dreams.",197
"['Fantasy', 'Fiction']",A Game of Thrones,['George R.R. Martin'],4.44,2163559,"Here is the first volume in George R. R. Martin’s magnificent cycle of novels that includes A Clash of Kings and A Storm of Swords. As a whole, this series comprises a genuine masterpiece of modern fantasy, bringing together the best the genre has to offer. Magic, mystery, intrigue, romance, and adventure fill these pages and transport us to a world unlike any we have ever",835
"['Fantasy', 'Fiction']",A Wrinkle in Time,"[""Madeleine L'Engle""]",3.99,1110680,"It was a dark and stormy night.Out of this wild night, a strange visitor comes to the Murry house and beckons Meg, her brother Charles Wallace, and their friend Calvin O'Keefe on a most dangerous and extraordinary adventure—one that will threaten their lives and our universe.Winner of the 1963 Newbery Medal, A Wrinkle in Time is the first book in Madeleine L'Engle's classi",218
"['Classics', 'Young Adult']",The Outsiders,['S.E. Hinton'],4.10,1058969,"The Outsiders is about two weeks in the life of a 14-year-old boy. The novel tells the story of Ponyboy Curtis and his struggles with right and wrong in a society in which he believes that he is an outsider. According to Ponyboy, there are two kinds of people in the world: greasers and socs. A soc (short for ""social"") has money, can get away with just about anything, and h",192
"['Classics', 'Fiction']",The Adventures of Huckleberry Finn,"['Mark Twain', 'Guy Cardwell', '(Notes)', 'John Seelye', '(Introduction)', 'Walter Trier', '(Ilustrator)', 'Mark Twain', 'Victor Fischer', '(Editor)', 'Lin Salamo', '(Editor)', 'Harriet E. Smith', '(Editor)', 'Walter Blair', '(Editor)']",3.82,1198155,"A nineteenth-century boy from a Mississippi River town recounts his adventures as he travels down the river with a runaway slave, encountering a family involved in a feud, two scoundrels pretending to be royalty, and Tom Sawyer's aunt who mistakes him for Tom.",327
"['Fiction', 'Mystery']",The Lovely Bones,['Alice Sebold'],3.83,2144082,"""My name was Salmon, like the fish; first name, Susie. I was fourteen when I was murdered on December 6, 1973.""So begins the story of Susie Salmon, who is adjusting to her new home in heaven, a place that is not at all what she expected, even as she is watching life on earth continue without her -- her friends trading rumors about her disappearance, her killer trying to co",372
"['Classics', 'Fiction']",The Odyssey,"['Homer', 'Robert Fagles', '(Translator)', 'Bernard Knox', '(Introduction)']",3.78,926292,"Sing to me of the man, Muse, the man of twists and turnsdriven time and again off course, once he had plunderedthe hallowed heights of Troy.So begins Robert Fagles' magnificent translation of the Odyssey.If the Iliad is the world's greatest war epic, then the Odyssey is literature's grandest evocation of everyman's journey though life. Odysseus' reliance on his wit and wil",541
"['Childrens', 'Childrens']",Where the Wild Things Are,['Maurice Sendak'],4.22,890580,"Max, a wild and naughty boy, is sent to bed without his supper by his exhausted mother. In his room, he imagines sailing far away to a land of Wild Things. Instead of eating him, the Wild Things make Max their king.",38
"['Childrens', 'Childrens']",Green Eggs and Ham,['Dr. Seuss'],4.29,680895,"“Do you like green eggs and ham?” asks Sam-I-am in this Beginner Book by Dr. Seuss. In a house or with a mouse? In a boat or with a goat? On a train or in a tree? Sam keeps asking persistently. With unmistakable characters and signature rhymes, Dr. Seuss’s beloved favorite has cemented its place as a children’s classic. In this most famous of cumulative tales, the list of",64
"['Fiction', 'Fantasy']",Life of Pi,['Yann Martel'],3.92,1439570,"Life of Pi is a fantasy adventure novel by Yann Martel published in 2001. The protagonist, Piscine Molitor ""Pi"" Patel, a Tamil boy from Pondicherry, explores issues of spirituality and practicality from an early age. He survives 227 days after a shipwreck while stranded on a boat in the Pacific Ocean with a Bengal tiger named Richard Parker.",460
"['Classics', 'Fiction']",A Tale of Two Cities,"['Charles Dickens', 'Richard Maxwell', '(Editor/Introduction)']",3.86,858815,"A Tale of Two Cities is Charles Dickens’s great historical novel, set against the violent upheaval of the French Revolution. The most famous and perhaps the most popular of his works, it compresses an event of immense complexity to the scale of a family history, with a cast of characters that includes a bloodthirsty ogress and an antihero as believably flawed as any in mod",489
"['Fiction', 'Historical']",Water for Elephants,['Sara Gruen'],4.09,1468539,"Winner of the 2007 BookBrowse Award for Most Popular Book.An atmospheric, gritty, and compelling novel of star-crossed lovers, set in the circus world circa 1932, by the bestselling author of Riding Lessons. When Jacob Jankowski, recently orphaned and suddenly adrift, jumps onto a passing train, he enters a world of freaks, drifters, and misfits, a second-rate circus strug",335
"['Classics', 'Fiction']",Lolita,"['Vladimir Nabokov', 'Craig Raine', '(Afterword)']",3.88,720938,"Librarian's note: Alternate cover edition of ISBN 9780141182537.Humbert Humbert - scholar, aesthete and romantic - has fallen completely and utterly in love with Dolores Haze, his landlady's gum-snapping, silky skinned twelve-year-old daughter. Reluctantly agreeing to marry Mrs Haze just to be close to Lolita, Humbert suffers greatly in the pursuit of romance; but when Lo",331
"['Fiction', 'Historical']",The Kite Runner,['Khaled Hosseini'],4.31,2654283,"The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, The Kite Runner is a beautifully crafted novel set in a country that is in the process of being destroyed. It is about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over son",371
"['Classics', 'Fiction']",Frankenstein: The 1818 Text,"['Mary Wollstonecraft Shelley', 'Charlotte Gordon', '(Introduction)']",3.83,1285289,"This is a previously-published edition of ISBN 9780143131847.Mary Shelley's seminal novel of the scientist whose creation becomes a monsterThis edition is the original 1818 text, which preserves the hard-hitting and politically charged aspects of Shelley's original writing, as well as her unflinching wit and strong female voice. This edition also includes a new introductio",260
"['Classics', 'Fiction']",Slaughterhouse-Five,['Kurt Vonnegut Jr.'],4.08,1214353,"Selected by the Modern Library as one of the 100 best novels of all time, Slaughterhouse-Five, an American classic, is one of the world's great antiwar books. Centering on the infamous firebombing of Dresden, Billy Pilgrim's odyssey through time reflects the mythic journey of our own fractured lives as we search for meaning in what we fear most.",275
"['Fiction', 'Classics']",The Handmaid's Tale,['Margaret Atwood'],4.12,1651494,"Offred is a Handmaid in the Republic of Gilead. She may leave the home of the Commander and his wife once a day to walk to food markets whose signs are now pictures instead of words because women are no longer allowed to read. She must lie on her back once a month and pray that the Commander makes her pregnant, because in an age of declining births, Offred and the other Ha",314
"['Young Adult', 'Fiction']",The Giver,['Lois Lowry'],4.13,2000456,"The Giver, the 1994 Newbery Medal winner, has become one of the most influential novels of our time. The haunting story centers on twelve-year-old Jonas, who lives in a seemingly ideal, if colorless, world of conformity and contentment. Not until he is given his life assignment as the Receiver of Memory does he begin to understand the dark, complex secrets behind his fragi",208
"['Classics', 'Fiction']",Little Women,['Louisa May Alcott'],4.11,1845996,"Generations of readers young and old, male and female, have fallen in love with the March sisters of Louisa May Alcott’s most popular and enduring novel, Little Women. Here are talented tomboy and author-to-be Jo, tragically frail Beth, beautiful Meg, and romantic, spoiled Amy, united in their devotion to each other and their struggles to survive in New England during the",449
"['Science Fiction', 'Fiction']",Dune,['Frank Herbert'],4.24,945846,"Set on the desert planet Arrakis, Dune is the story of the boy Paul Atreides, heir to a noble family tasked with ruling an inhospitable world where the only thing of value is the “spice” melange, a drug capable of extending life and enhancing consciousness. Coveted across the known universe, melange is a prize worth killing for...When House Atreides is betrayed, the destru",688
"['Fantasy', 'Young Adult']",Harry Potter and the Deathly Hallows,['J.K. Rowling'],4.61,3105119,"It's no longer safe for Harry at Hogwarts, so he and his best friends, Ron and Hermione, are on the run. Professor Dumbledore has given them clues about what they need to do to defeat the dark wizard, Lord Voldemort, once and for all, but it's up to them to figure out what these hints and suggestions really mean. Their cross-country odyssey has them searching desperately f",759
"['Classics', 'Fiction']",1984,['George Orwell'],4.19,3587531,"Among the seminal texts of the 20th century, Nineteen Eighty-Four is a rare work that grows more haunting as its futuristic purgatory becomes more real. Published in 1949, the book offers political satirist George Orwell's nightmarish vision of a totalitarian, bureaucratic world and one poor stiff's attempt to find individuality. The brilliance of the novel is Orwell's pre",298
"['Historical', 'Historical Fiction']",The Pillars of the Earth,['Ken Follett'],4.32,693598,"Ken Follett is known worldwide as the master of split-second suspense, but his most beloved and bestselling book tells the magnificent tale of a twelfth-century monk driven to do the seemingly impossible: build the greatest Gothic cathedral the world has ever known.Everything readers expect from Follett is here: intrigue, fast-paced action, and passionate romance. But what",976
"['Horror', 'Fiction']",The Stand,"['Stephen King', 'Bernie Wrightson', '(Illustrator)']",4.33,677686,"When a man escapes from a biological testing facility, he sets in motion a deadly domino effect, spreading a mutated strain of the flu that will wipe out 99 percent of humanity within a few weeks. The survivors who remain are scared, bewildered, and in need of a leader. Two emerge–Mother Abagail, the benevolent 108-year-old woman who urges them to build a peaceful communit",1152
"['Classics', 'Fiction']",Watership Down,['Richard  Adams'],4.06,455478,"Librarian's note: See alternate cover edition of ISBN13 9780380395866 here.Set in England's Downs, a once idyllic rural landscape, this stirring tale of adventure, courage and survival follows a band of very special creatures on their flight from the intrusion of man and the certain destruction of their home. Led by a stouthearted pair of friends, they journey forth from t",478
"['Classics', 'Mystery']",The Adventures of Sherlock Holmes,['Arthur Conan Doyle'],4.29,267981,"The Adventures of Sherlock Holmes is the series of short stories that made the fortunes of the Strand magazine, in which they were first published, and won immense popularity for Sherlock Holmes and Dr Watson. The detective is at the height of his powers and the volume is full of famous cases, including 'The Red-Headed League', 'The Blue Carbuncle', and 'The Speckled Band'",389
"['Classics', 'Fiction']",Great Expectations,"['Charles Dickens', 'Charles Green', 'Mark Oxford', '(Editor)', 'Sam Ngo', 'F.W. Pailthorpe']",3.78,703940,"'In what may be Dickens's best novel, humble, orphaned Pip is apprenticed to the dirty work of the forge but dares to dream of becoming a gentleman — and one day, under sudden and enigmatic circumstances, he finds himself in possession of ""great expectations."" In this gripping tale of crime and guilt, revenge and reward, the compelling characters include Magwitch, the fear",544
"['Classics', 'Fiction']",The Bell Jar,['Sylvia Plath'],4.02,676716,"The Bell Jar chronicles the crack-up of Esther Greenwood: brilliant, beautiful, enormously talented, and successful, but slowly going under—maybe for the last time. Sylvia Plath masterfully draws the reader into Esther's breakdown with such intensity that Esther's insanity becomes completely real and even rational, as probable and accessible an experience as going to the m",294
"['Childrens', 'Fiction']",Matilda,"['Roald Dahl', 'Quentin Blake', '(Illustrator)']",4.32,749544,"Matilda is a little girl who is far too good to be true. At age five-and-a-half she's knocking off double-digit multiplication problems and blitz-reading Dickens. Even more remarkably, her classmates love her even though she's a super-nerd and the teacher's pet. But everything is not perfect in Matilda's world. For starters she has two of the most idiotic, self-centered pa",240
"['Classics', 'Fiction']",Anna Karenina,"['Leo Tolstoy', 'Constance Garnett', '(Translator)', 'Aylmer Maude', '(Translator)', 'Louise Maude', '(Translator)', 'Dmitriy Butko', '(Translator)', 'George Gibian', '(Preface)']",4.06,727379,"Acclaimed by many as the world's greatest novel, Anna Karenina provides a vast panorama of contemporary life in Russia and of humanity in general. In it Tolstoy uses his intense imaginative insight to create some of the most memorable characters in all of literature. Anna is a sophisticated woman who abandons her empty existence as the wife of Karenin and turns to Count Vr",964
"['Classics', 'Fiction']",One Flew Over the Cuckoo's Nest,['Ken Kesey'],4.19,673399,"Tyrannical Nurse Ratched rules her ward in an Oregon State mental hospital with a strict and unbending routine, unopposed by her patients, who remain cowed by mind-numbing medication and the threat of electric shock therapy. But her regime is disrupted by the arrival of McMurphy – the swaggering, fun-loving trickster with a devilish grin who resolves to oppose her rules on",325
"['Fantasy', 'Classics']",The Fellowship of the Ring,['J.R.R. Tolkien'],4.37,2515790,"One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkeness bind themIn ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, The Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth,",527
"['Fiction', 'Mystery']",The Girl with the Dragon Tattoo,"['Stieg Larsson', 'Reg Keeland', '(Translator)']",4.15,2827979,"Harriet Vanger, a scion of one of Sweden’s wealthiest families disappeared over forty years ago. All these years later, her aged uncle continues to seek the truth. He hires Mikael Blomkvist, a crusading journalist recently trapped by a libel conviction, to investigate. He is aided by the pierced and tattooed punk prodigy Lisbeth Salander. Together they tap into a vein of u",465
"['Historical', 'Historical Fiction']",Outlander,['Diana Gabaldon'],4.23,911001,"The year is 1945. Claire Randall, a former combat nurse, is just back from the war and reunited with her husband on a second honeymoon when she walks through a standing stone in one of the ancient circles that dot the British Isles. Suddenly she is a Sassenach—an “outlander”—in a Scotland torn by war and raiding border clans in the year of Our Lord...1743. Hurled back in t",850
"['Fiction', 'Contemporary']",My Sister's Keeper,['Jodi Picoult'],4.08,1112727,"New York Times best-selling author Jodi Picoult is widely acclaimed for her keen insights into the hearts and minds of real people. Now she tells the emotionally riveting story of a family torn apart by conflicting needs and a passionate love that triumphs over human weakness. Anna is not sick, but she might as well be. By age 13 she has undergone countless surgeries, tran",423
