genres,title,authors,rating,reviews,pages,Key_words
"['fiction', 'mystery']",The Da Vinci Code,['danbrown'],3.88,2088671,489,"['isbn', '9780307277671', 'moved', 'edition', 'paris', 'harvard', 'symbologist', 'robert', 'langdon', 'awakened', 'phone', 'call', 'dead', 'night', 'elderly', 'curator', 'louvre', 'murdered', 'inside', 'museum', 'body', 'covered', 'baffling', 'symbol', 'gifted', 'french', 'cryptologist', 'sophie', 'neveu', 'sort', 'bizarre', 'riddle', 'stunned', 'discover']"
"['classics', 'fiction']",Jane Eyre,"['charlottebrontë', 'sylvèremonod']",4.13,1778534,532,"['orphaned', 'child', 'jane', 'felt', 'outcast', 'whole', 'young', 'life', 'courage', 'tested', 'arrives', 'thornfield', 'hall', 'hired', 'brooding', 'proud', 'edward', 'rochester', 'care', 'ward', 'adèle', 'find', 'drawn', 'troubled', 'yet', 'kind', 'spirit', 'fall', 'love', 'hard', 'terrifying', 'secret', 'inside', 'gloomy', 'forbiddin']"
"['fiction', 'historical']",Memoirs of a Geisha,['arthurgolden'],4.13,1818000,503,"['literary', 'sensation', 'runaway', 'bestseller', 'brilliant', 'debut', 'novel', 'present', 'seamless', 'authenticity', 'exquisite', 'lyricism', 'true', 'confession', 'one', 'japan', 'celebrated', 'geisha', 'memoir', 'enter', 'world', 'appearance', 'paramount', 'girl', 'virginity', 'auctioned', 'highest', 'bidder', 'woman', 'trained', 'beguile', 'pow']"
"['classics', 'fantasy']",Alice's Adventures in Wonderland / Through the Looking-Glass,"['lewiscarroll', 'johntenniel', '(illustrator)', 'martingardner', '(introduction)']",4.06,499041,239,"['explain', 'afraid', 'sir', ',""', 'said', 'alice', 'see', 'see', 'white', 'rabbit', 'take', 'watch', 'waistcoat', 'pocket', 'decides', 'follow', 'sequence', 'unusual', 'event', 'set', 'motion', 'mini', 'book', 'contains', 'entire', 'topsy', 'turvy', 'story', 'adventure', 'wonderland', 'looking', 'glass', 'accompanie']"
"['classics', 'fiction']",Fahrenheit 451,['raybradbury'],3.98,1908245,194,"['sixty', 'year', 'original', 'publication', 'ray', 'bradbury', '’', 'internationally', 'acclaimed', 'novel', 'fahrenheit', '451', 'stand', 'classic', 'world', 'literature', 'set', 'bleak', 'dystopian', 'future', 'today', 'message', 'grown', 'relevant', 'ever', 'guy', 'montag', 'fireman', 'job', 'destroy', 'illegal', 'commodity', 'printed', 'book', 'along', 'house', 'ar']"
"['youngadult', 'fiction']",The Perks of Being a Wallflower,['stephenchbosky'],4.21,1410146,213,"['standing', 'fringe', 'life', '...', 'offer', 'unique', 'perspective', 'come', 'time', 'seewhat', 'look', 'like', 'dance', 'floor', 'haunting', 'novel', 'dilemma', 'passivity', 'v', 'passion', 'mark', 'stunning', 'debut', 'provocative', 'new', 'voice', 'contemporary', 'fiction', 'perk', 'wallflowerthis', 'story', 'grow', 'high', 'school', 'inti']"
"['youngadult', 'sciencefiction']",Divergent,['veronicaroth'],4.17,3258936,487,"['beatrice', 'prior', 'dystopian', 'chicago', 'world', 'society', 'divided', 'five', 'faction', 'dedicated', 'cultivation', 'particular', 'virtue', '—', 'candor', 'honest', '),', 'abnegation', 'selfless', 'dauntless', 'brave', 'amity', 'peaceful', 'erudite', 'intelligent', ').', 'appointed', 'day', 'every', 'year', 'sixteen', 'old', 'must', 'select', 'faction', 'devote']"
"['fantasy', 'fiction']",Harry Potter and the Sorcerer's Stone,['j.k.rowling'],4.47,7980967,309,"['harry', 'potter', 'life', 'miserable', 'parent', 'dead', 'stuck', 'heartless', 'relative', 'force', 'live', 'tiny', 'closet', 'stair', 'fortune', 'change', 'receives', 'letter', 'tell', 'truth', 'wizard', 'mysterious', 'visitor', 'rescue', 'take', 'new', 'home', 'hogwarts', 'school', 'witchcraft']"
"['classics', 'fiction']",Lord of the Flies,['williamgolding'],3.69,2474448,182,"['dawn', 'next', 'world', 'war', 'plane', 'crash', 'uncharted', 'island', 'stranding', 'group', 'schoolboy', 'first', 'adult', 'supervision', 'freedom', 'something', 'celebrate', 'far', 'civilization', 'boy', 'anything', 'want', 'attempt', 'forge', 'society', 'failing', 'however', 'face', 'terror', 'sin', 'evil', 'order', 'collaps']"
"['classics', 'fiction']",Crime and Punishment,"['fyodordostoevsky', 'davidmcduff', '(translator)']",4.23,710470,671,"['raskolnikov', 'destitute', 'desperate', 'former', 'student', 'wanders', 'slum', 'st', 'petersburg', 'commits', 'random', 'murder', 'without', 'remorse', 'regret', 'imago', 'great', 'man', 'napoleon', 'acting', 'higher', 'purpose', 'beyond', 'conventional', 'moral', 'law', 'embarks', 'dangerous', 'game', 'cat', 'mouse', 'suspicious', 'police', 'investigator', 'pur']"
"['classics', 'plays']",Romeo and Juliet,"['williamshakespeare', 'paulwerstine', '(editor)', 'barbaraa.mowat', '(editor)']",3.75,2224800,281,"['romeo', 'juliet', 'shakespeare', 'creates', 'violent', 'world', 'two', 'young', 'people', 'fall', 'love', 'simply', 'family', 'disapprove', 'montagues', 'capulets', 'engaged', 'blood', 'feud', 'death', 'filled', 'setting', 'movement', 'first', 'sight', 'lover', '’', 'final', 'union', 'seems', 'almost', 'inevitable', 'yet', 'play', 'set', 'extraordina']"
"['classics', 'fiction']",The Little Prince,"['antoinedesaint-exupéry', 'richardhoward', '(translator)']",4.31,1603410,96,"['pilot', 'stranded', 'desert', 'awakes', 'one', 'morning', 'see', 'standing', 'extraordinary', 'little', 'fellow', 'please', ',""', 'asks', 'stranger', 'draw', 'sheep', '.""', 'realizes', 'life', 'event', 'difficult', 'understand', 'choice', 'succumb', 'mystery', 'pull', 'pencil', 'paper', '...', 'thus', 'begin', 'wise', 'enchanting', 'fa']"
"['youngadult', 'fantasy']",City of Bones,['cassandraclare'],4.09,1772105,485,"['fifteen', 'year', 'old', 'clary', 'fray', 'head', 'pandemonium', 'club', 'new', 'york', 'city', 'hardly', 'expects', 'witness', 'murder', '―', 'much', 'le', 'committed', 'three', 'teenager', 'covered', 'strange', 'tattoo', 'brandishing', 'bizarre', 'weapon', 'body', 'disappears', 'thin', 'air', 'hard', 'call', 'police', 'murderer', 'invisible', 'everyone', 'else']"
"['fiction', 'historical']",The Help,['kathrynstockett'],4.46,2356640,464,"['three', 'ordinary', 'woman', 'take', 'one', 'extraordinary', 'step', 'twenty', 'two', 'year', 'old', 'skeeter', 'returned', 'home', 'graduating', 'ole', 'miss', 'may', 'degree', '1962', 'mississippi', 'mother', 'happy', 'till', 'ring', 'finger', 'would', 'normally', 'find', 'solace', 'beloved', 'maid', 'constantine', 'woman', 'raised', 'consta']"
"['classics', 'fiction']",Anne of Green Gables,['l.m.montgomery'],4.26,818629,320,"['heartwarming', 'story', 'beckoned', 'generation', 'reader', 'special', 'world', 'green', 'gable', 'old', 'fashioned', 'farm', 'outside', 'town', 'called', 'avonlea', 'anne', 'shirley', 'eleven', 'year', 'orphan', 'arrived', 'verdant', 'corner', 'prince', 'edward', 'island', 'discover', 'cuthberts', '—', 'elderly', 'matthew', 'stern', 'sister', 'marilla', 'want', 'adopt', 'boy', 'feisty', 'redhea']"
"['sciencefiction', 'youngadult']",Ender's Game,['orsonscottcard'],4.3,1225712,324,"['andrew', 'ender', 'wiggin', 'think', 'playing', 'computer', 'simulated', 'war', 'game', 'fact', 'engaged', 'something', 'far', 'desperate', 'result', 'genetic', 'experimentation', 'may', 'military', 'genius', 'earth', 'desperately', 'need', 'alien', 'enemy', 'seeking', 'destroy', 'human', 'life', 'way', 'find', 'throw', 'ever', 'harsher', 'training', 'chip', 'awa']"
"['classics', 'childrens']",Charlotte's Web,"['e.b.white', 'garthwilliams', '(illustrator)', 'rosemarywells', '(illustrations)']",4.18,1561470,184,"['beloved', 'book', 'e', 'b', 'white', 'author', 'stuart', 'little', 'trumpet', 'swan', 'classic', 'child', 'literature', 'perfect', '.""', 'high', 'quality', 'paperback', 'feature', 'vibrant', 'illustration', 'colorized', 'rosemary', 'well', 'pig', 'humble', 'radiant', 'word', 'charlotte', 'web', 'zuckerman', 'barn', 'spiderweb', 'tell', 'fe']"
"['classics', 'fiction']",Of Mice and Men,['johnsteinbeck'],3.88,2120355,103,"['intimate', 'portrait', 'two', 'men', 'cherish', 'slim', 'bond', 'dream', 'share', 'world', 'marred', 'petty', 'tyranny', 'misunderstanding', 'jealousy', 'callousness', 'clinging', 'loneliness', 'alienation', 'george', 'simple', 'minded', 'friend', 'lennie', 'drifter', 'place', 'call', '—', 'couple', 'acre', 'pig', 'chicken']"
"['fantasy', 'youngadult']",The Lightning Thief,['rickriordan'],4.27,2286439,377,"['alternate', 'cover', 'isbn', 'found', 'herepercy', 'jackson', 'good', 'kid', 'seem', 'focus', 'schoolwork', 'control', 'temper', 'lately', 'away', 'boarding', 'school', 'getting', 'worse', 'percy', 'could', 'sworn', 'pre', 'algebra', 'teacher', 'turned', 'monster', 'tried', 'kill', 'mom', 'find', 'know', 'time', 'knew', 'truth', 'ab']"
"['fiction', 'romance']",The Time Traveler's Wife,['audreyniffenegger'],3.98,1659462,500,"['funny', 'often', 'poignant', 'tale', 'boy', 'meet', 'girl', 'twist', 'one', 'stop', 'slipping', 'time', 'highly', 'original', 'imaginative', 'debut', 'novel', 'raise', 'question', 'life', 'love', 'effect', 'relationship', 'audrey', 'niffenegger', '’', 'innovative', 'traveler', 'wife', 'story', 'clare', 'beautiful', 'art', 'student', 'henry']"
"['classics', 'horror']",Dracula,"['bramstoker', 'ninaauerbach', '(editor)', 'davidj.skal', '(editor)']",4.0,1042641,488,"['find', 'alternative', 'cover', 'edition', 'isbn', 'rich', 'selection', 'background', 'source', 'material', 'provided', 'three', 'area', 'context', 'includes', 'probable', 'inspiration', 'dracula', 'earlier', 'work', 'james', 'malcolm', 'rymer', 'emily', 'gerard', 'also', 'included', 'discussion', 'stoker', 'working', 'note', 'novel', 'guest', ',""', 'original', 'open']"
"['classics', 'fiction']",Brave New World,['aldoushuxley'],3.99,1583523,268,"['brave', 'new', 'world', 'dystopian', 'novel', 'english', 'author', 'aldous', 'huxley', 'written', '1931', 'published', '1932', 'largely', 'set', 'futuristic', 'state', 'inhabited', 'genetically', 'modified', 'citizen', 'intelligence', 'based', 'social', 'hierarchy', 'anticipates', 'huge', 'scientific', 'advancement', 'reproductive', 'technology', 'sleep', 'learning', 'psychological', 'manipulation', 'classical', 'co']"
"['fiction', 'classics']",One Hundred Years of Solitude,"['gabrielgarcíamárquez', 'gregoryrabassa', '(translator)', 'seçkinselvi', '(translator)']",4.09,823648,417,"['brilliant', 'bestselling', 'landmark', 'novel', 'tell', 'story', 'buendia', 'family', 'chronicle', 'irreconcilable', 'conflict', 'desire', 'solitude', 'need', 'love', '—', 'rich', 'imaginative', 'prose', 'come', 'define', 'entire', 'genre', 'known', 'magical', 'realism', '.""']"
"['classics', 'fiction']",The Catcher in the Rye,['j.d.salinger'],3.81,2983344,277,"['hero', 'narrator', 'catcher', 'rye', 'ancient', 'child', 'sixteen', 'native', 'new', 'yorker', 'named', 'holden', 'caulfield', 'circumstance', 'tend', 'preclude', 'adult', 'secondhand', 'description', 'leaf', 'prep', 'school', 'pennsylvania', 'go', 'underground', 'york', 'city', 'three', 'day', 'boy', 'simple', 'complex', 'u', 'make', 'final', 'comme']"
"['fantasy', 'fiction']",The Princess Bride,['williamgoldman'],4.25,833123,456,"['happens', 'beautiful', 'girl', 'world', 'marries', 'handsomest', 'prince', 'time', 'turn', '...', 'well', 'lot', 'le', 'man', 'dream', 'boy', 'william', 'goldman', 'claim', 'loved', 'hear', 'father', 'read', 'morgenstern', 'classic', 'princess', 'bride', 'grown', 'discovered', 'boring', 'part', 'left', 'good', 'old', 'dad', 'recitat']"
"['fiction', 'historical']",A Thousand Splendid Suns,['khaledhosseini'],4.39,1270204,372,"['thousand', 'splendid', 'sun', 'breathtaking', 'story', 'set', 'volatile', 'event', 'afghanistan', 'last', 'thirty', 'year', 'soviet', 'invasion', 'reign', 'taliban', 'post', 'rebuilding', 'put', 'violence', 'fear', 'hope', 'faith', 'country', 'intimate', 'human', 'term', 'tale', 'two', 'generation', 'character', 'brought', 'jarringly', 'together', 'tragic']"
"['classics', 'fiction']",The Secret Garden,['franceshodgsonburnett'],4.13,992482,331,"['one', 'delightful', 'enduring', 'classic', 'child', 'literature', 'secret', 'garden', 'victorian', 'author', 'france', 'hodgson', 'burnett', 'remained', 'firm', 'favorite', 'world', 'ever', 'since', 'made', 'first', 'appearance', 'initially', 'published', 'serial', 'story', '1910', 'american', 'magazine', 'brought', 'novel', 'form', '1911', 'plot', 'center', 'round']"
"['fiction', 'classics']",The Alchemist,"['paulocoelho', 'alanr.clarke', '(translator)', 'กอบชลีและกันเกรา', '(ผู้แปล)']",3.89,2386843,197,"['paulo', 'coelho', 'masterpiece', 'tell', 'mystical', 'story', 'santiago', 'andalusian', 'shepherd', 'boy', 'yearns', 'travel', 'search', 'worldly', 'treasure', 'quest', 'lead', 'rich', 'far', 'different', 'satisfying', 'listening', 'heart', 'recognizing', 'opportunity', 'learning', 'read', 'omen', 'strewn', 'along', 'life', 'path', 'importantly', 'follow', 'dream']"
"['fantasy', 'fiction']",A Game of Thrones,['georger.r.martin'],4.44,2163559,835,"['first', 'volume', 'george', 'r', 'martin', '’', 'magnificent', 'cycle', 'novel', 'includes', 'clash', 'king', 'storm', 'sword', 'whole', 'series', 'comprises', 'genuine', 'masterpiece', 'modern', 'fantasy', 'bringing', 'together', 'best', 'genre', 'offer', 'magic', 'mystery', 'intrigue', 'romance', 'adventure', 'fill', 'page', 'transport', 'u', 'world', 'unlike', 'ever']"
"['fantasy', 'fiction']",A Wrinkle in Time,"[""madeleinel'engle""]",3.99,1110680,218,"['dark', 'stormy', 'night', 'wild', 'strange', 'visitor', 'come', 'murry', 'house', 'beckons', 'meg', 'brother', 'charles', 'wallace', 'friend', 'calvin', 'keefe', 'dangerous', 'extraordinary', 'adventure', '—', 'one', 'threaten', 'life', 'universe', 'winner', '1963', 'newbery', 'medal', 'wrinkle', 'time', 'first', 'book', 'madeleine', 'l', 'engle', 'classi']"
"['classics', 'youngadult']",The Outsiders,['s.e.hinton'],4.1,1058969,192,"['outsider', 'two', 'week', 'life', '14', 'year', 'old', 'boy', 'novel', 'tell', 'story', 'ponyboy', 'curtis', 'struggle', 'right', 'wrong', 'society', 'belief', 'outsider', 'according', 'kind', 'people', 'world', 'greaser', 'socs', 'soc', 'short', 'social', '"")', 'money', 'get', 'away', 'anything', 'h']"
"['classics', 'fiction']",The Adventures of Huckleberry Finn,"['marktwain', 'guycardwell', '(notes)', 'johnseelye', '(introduction)', 'waltertrier', '(ilustrator)', 'marktwain', 'victorfischer', '(editor)', 'linsalamo', '(editor)', 'harriete.smith', '(editor)', 'walterblair', '(editor)']",3.82,1198155,327,"['nineteenth', 'century', 'boy', 'mississippi', 'river', 'town', 'recount', 'adventure', 'travel', 'runaway', 'slave', 'encountering', 'family', 'involved', 'feud', 'two', 'scoundrel', 'pretending', 'royalty', 'tom', 'sawyer', 'aunt', 'mistake']"
"['fiction', 'mystery']",The Lovely Bones,['alicesebold'],3.83,2144082,372,"['name', 'salmon', 'like', 'fish', 'first', 'susie', 'fourteen', 'murdered', 'december', '6', '1973', 'begin', 'story', 'adjusting', 'new', 'home', 'heaven', 'place', 'expected', 'even', 'watching', 'life', 'earth', 'continue', 'without', '--', 'friend', 'trading', 'rumor', 'disappearance', 'killer', 'trying', 'co']"
"['classics', 'fiction']",The Odyssey,"['homer', 'robertfagles', '(translator)', 'bernardknox', '(introduction)']",3.78,926292,541,"['sing', 'man', 'muse', 'twist', 'turnsdriven', 'time', 'course', 'plunderedthe', 'hallowed', 'height', 'troy', 'begin', 'robert', 'fagles', 'magnificent', 'translation', 'odyssey', 'iliad', 'world', 'greatest', 'war', 'epic', 'literature', 'grandest', 'evocation', 'everyman', 'journey', 'though', 'life', 'odysseus', 'reliance', 'wit', 'wil']"
"['childrens', 'childrens']",Where the Wild Things Are,['mauricesendak'],4.22,890580,38,"['max', 'wild', 'naughty', 'boy', 'sent', 'bed', 'without', 'supper', 'exhausted', 'mother', 'room', 'imago', 'sailing', 'far', 'away', 'land', 'thing', 'instead', 'eating', 'make', 'king']"
"['childrens', 'childrens']",Green Eggs and Ham,['dr.seuss'],4.29,680895,64,"['“', 'like', 'green', 'egg', 'ham', '?”', 'asks', 'sam', 'beginner', 'book', 'dr', 'seuss', 'house', 'mouse', 'boat', 'goat', 'train', 'tree', 'keep', 'asking', 'persistently', 'unmistakable', 'character', 'signature', 'rhyme', '’', 'beloved', 'favorite', 'cemented', 'place', 'child', 'classic', 'famous', 'cumulative', 'tale', 'list']"
"['fiction', 'fantasy']",Life of Pi,['yannmartel'],3.92,1439570,460,"['life', 'pi', 'fantasy', 'adventure', 'novel', 'yann', 'martel', 'published', '2001', 'protagonist', 'piscine', 'molitor', 'patel', 'tamil', 'boy', 'pondicherry', 'explores', 'issue', 'spirituality', 'practicality', 'early', 'age', 'survives', '227', 'day', 'shipwreck', 'stranded', 'boat', 'pacific', 'ocean', 'bengal', 'tiger', 'named', 'richard', 'parker']"
"['classics', 'fiction']",A Tale of Two Cities,"['charlesdickens', 'richardmaxwell', '(editor/introduction)']",3.86,858815,489,"['tale', 'two', 'city', 'charles', 'dickens', '’', 'great', 'historical', 'novel', 'set', 'violent', 'upheaval', 'french', 'revolution', 'famous', 'perhaps', 'popular', 'work', 'compress', 'event', 'immense', 'complexity', 'scale', 'family', 'history', 'cast', 'character', 'includes', 'bloodthirsty', 'ogress', 'antihero', 'believably', 'flawed', 'mod']"
"['fiction', 'historical']",Water for Elephants,['saragruen'],4.09,1468539,335,"['winner', '2007', 'bookbrowse', 'award', 'popular', 'book', 'atmospheric', 'gritty', 'compelling', 'novel', 'star', 'crossed', 'lover', 'set', 'circus', 'world', 'circa', '1932', 'bestselling', 'author', 'riding', 'lesson', 'jacob', 'jankowski', 'recently', 'orphaned', 'suddenly', 'adrift', 'jump', 'onto', 'passing', 'train', 'enters', 'freak', 'drifter', 'misfit', 'second', 'rate', 'strug']"
"['classics', 'fiction']",Lolita,"['vladimirnabokov', 'craigraine', '(afterword)']",3.88,720938,331,"['librarian', 'note', 'alternate', 'cover', 'edition', 'isbn', '9780141182537', 'humbert', 'scholar', 'aesthete', 'romantic', 'fallen', 'completely', 'utterly', 'love', 'dolores', 'haze', 'landlady', 'gum', 'snapping', 'silky', 'skinned', 'twelve', 'year', 'old', 'daughter', 'reluctantly', 'agreeing', 'marry', 'mr', 'close', 'lolita', 'suffers', 'greatly', 'pursuit', 'romance', 'lo']"
"['fiction', 'historical']",The Kite Runner,['khaledhosseini'],4.31,2654283,371,"['unforgettable', 'heartbreaking', 'story', 'unlikely', 'friendship', 'wealthy', 'boy', 'son', 'father', '’', 'servant', 'kite', 'runner', 'beautifully', 'crafted', 'novel', 'set', 'country', 'process', 'destroyed', 'power', 'reading', 'price', 'betrayal', 'possibility', 'redemption', 'exploration', 'father']"
"['classics', 'fiction']",Frankenstein: The 1818 Text,"['marywollstonecraftshelley', 'charlottegordon', '(introduction)']",3.83,1285289,260,"['previously', 'published', 'edition', 'isbn', '9780143131847', 'mary', 'shelley', 'seminal', 'novel', 'scientist', 'whose', 'creation', 'becomes', 'monsterthis', 'original', '1818', 'text', 'preserve', 'hard', 'hitting', 'politically', 'charged', 'aspect', 'writing', 'well', 'unflinching', 'wit', 'strong', 'female', 'voice', 'also', 'includes', 'new', 'introductio']"
"['classics', 'fiction']",Slaughterhouse-Five,['kurtvonnegutjr.'],4.08,1214353,275,"['selected', 'modern', 'library', 'one', '100', 'best', 'novel', 'time', 'slaughterhouse', 'five', 'american', 'classic', 'world', 'great', 'antiwar', 'book', 'centering', 'infamous', 'firebombing', 'dresden', 'billy', 'pilgrim', 'odyssey', 'reflects', 'mythic', 'journey', 'fractured', 'life', 'search', 'meaning', 'fear']"
"['fiction', 'classics']",The Handmaid's Tale,['margaretatwood'],4.12,1651494,314,"['offred', 'handmaid', 'republic', 'gilead', 'may', 'leave', 'home', 'commander', 'wife', 'day', 'walk', 'food', 'market', 'whose', 'sign', 'picture', 'instead', 'word', 'woman', 'longer', 'allowed', 'read', 'must', 'lie', 'back', 'month', 'pray', 'make', 'pregnant', 'age', 'declining', 'birth', 'ha']"
"['youngadult', 'fiction']",The Giver,['loislowry'],4.13,2000456,208,"['giver', '1994', 'newbery', 'medal', 'winner', 'become', 'one', 'influential', 'novel', 'time', 'haunting', 'story', 'center', 'twelve', 'year', 'old', 'jonas', 'life', 'seemingly', 'ideal', 'colorless', 'world', 'conformity', 'contentment', 'given', 'life', 'assignment', 'receiver', 'memory', 'begin', 'understand', 'dark', 'complex', 'secret', 'behind', 'fragi']"
"['classics', 'fiction']",Little Women,['louisamayalcott'],4.11,1845996,449,"['generation', 'reader', 'young', 'old', 'male', 'female', 'fallen', 'love', 'march', 'sister', 'louisa', 'may', 'alcott', '’', 'popular', 'enduring', 'novel', 'little', 'woman', 'talented', 'tomboy', 'author', 'jo', 'tragically', 'frail', 'beth', 'beautiful', 'meg', 'romantic', 'spoiled', 'amy', 'united', 'devotion', 'struggle', 'survive', 'new', 'england']"
"['sciencefiction', 'fiction']",Dune,['frankherbert'],4.24,945846,688,"['set', 'desert', 'planet', 'arrakis', 'dune', 'story', 'boy', 'paul', 'atreides', 'heir', 'noble', 'family', 'tasked', 'ruling', 'inhospitable', 'world', 'thing', 'value', '“', 'spice', '”', 'melange', 'drug', 'capable', 'extending', 'life', 'enhancing', 'consciousness', 'coveted', 'across', 'known', 'universe', 'prize', 'worth', 'killing', '...', 'house', 'betrayed', 'destru']"
